site,census,age2009,age,TP.BA,TP.AGB,TP.stems,TP.ind,H0Q1TP,H1.Q1.TP,H2.Q1.TP
1,2,3,3,5.987220989,19.47911043,21814.78205,9086.461538,33,4.77691454,2.838336988
1,3,3,4,7.214875488,23.43230125,23914.08974,9453.025641,37,4.927904857,2.78521277
1,4,3,5,8.457890382,26.95715525,22563.65385,9370.653846,38,4.84541496,2.705517762
1,5,3,6,9.439419152,30.50278998,20556.21795,9084.012821,41,5.061276922,2.677417864
1,7,3,8,10.68866388,36.44519763,14399.67949,7827.410256,45,6.157020586,3.021456656
1,8,3,9,10.94885674,38.42376596,13171.51282,7270.346154,47,6.794968065,3.238809141
2,2,3,3,1.966955017,8.495519158,6718.692308,2870.564103,20,5.274199246,2.743471188
2,3,3,4,2.968935434,11.54134933,11999.14103,5040.038462,29,5.334766794,2.698944683
2,4,3,5,4.781836474,17.46831806,16468.23077,5943.435897,36,5.638008183,2.749790917
2,5,3,6,5.451985462,19.26779098,17113.21795,6283.935897,38,5.846707369,2.815447352
2,7,3,8,7.84617827,28.39064711,15982.74359,6878.346154,40,6.912257555,3.273091716
2,8,3,9,8.315781214,30.455811,14524.14103,6810.025641,41,7.49846916,3.479771715
3,2,0.5,0.5,0.060063325,0.134152057,265,125,7,5.467289592,4.235294118
3,3,0.5,1.5,0.898825366,2.299095557,4330,2145,32,12.02471366,6.418022351
3,4,0.5,2.5,4.176185873,11.71462422,15095,5750,43,9.848307968,4.240935688
3,5,0.5,3.5,5.951217138,17.49798362,16185,6560,45,9.683737831,4.188974245
3,7,0.5,5.5,10.02711159,31.77376684,14460,7395,45,10.90486291,5.015400214
3,8,0.5,6.5,10.81604012,35.33018156,13090,7310,46,10.8650912,5.180445778
4,2,0,0,0.311685261,0.83607401,1285,645,22,14.41732357,10.72906404
4,3,0,1,1.305284624,3.491674254,5120,2490,37,18.69285348,11.60880781
4,4,0,2,4.240945879,11.43588452,14925,8270,45,9.679389232,4.811222898
4,5,0,3,6.144495772,17.15384071,16240,9395,47,9.518718522,5.075003686
4,7,0,5,9.441192782,28.88733428,15210,9865,56,10.67697384,5.651086472
4,8,0,6,9.897756516,31.37701375,13590,9260,58,11.90581031,6.170671158
5,2,1,1,0.648762445,1.159210214,3160,1740,22,2.809068925,1.517289766
5,3,1,2,1.605385262,2.915254618,8365,4685,43,10.65281518,5.367127833
5,4,1,3,4.264778786,9.377199482,12785,7525,51,13.00436451,7.050859893
5,5,1,4,5.688187294,13.6439065,12270,7410,52,13.7812921,7.10050277
5,7,1,6,7.880818689,22.18360132,10645,6505,60,17.02598537,8.819871307
5,8,1,7,8.177279007,24.28932327,9500,5945,63,16.56100176,8.3420836
6,2,0,0,0,0,0,0,0,0,0
6,3,0,1,0.359893,1.075634455,1515,915,12,3.653893416,2.119178768
6,4,0,2,2.074597833,4.591988313,8325,5040,27,8.167743411,5.480519201
6,5,0,3,3.642162246,8.304336182,11865,7510,33,9.057933574,5.579603757
6,7,0,5,4.796972436,12.70773068,10940,6810,39,8.916109139,4.717760422
6,8,0,6,4.916678897,13.62255555,9795,6115,40,9.623196863,5.15479375
8,2,12,12,17.06731077,56.30609875,6330,4615,79,38.98707555,21.32733813
8,3,12,13,18.02084305,60.78841058,6390,4755,85,41.0059531,21.40336293
8,4,12,14,19.09132897,65.90179061,6520,4780,86,41.86673615,21.36562558
8,5,12,15,19.94137718,70.74883932,6490,4785,86,41.43123562,20.63140496
8,7,12,17,19.49408507,71.58031624,6355,4765,90,43.31815112,22.23393214
8,8,12,18,19.79328643,74.09765039,6355,4795,92,45.10120218,23.46593864
9,2,7,7,9.232465366,29.90258065,5835,4015,67,29.97174488,18.03648069
9,3,7,8,9.491269769,31.58816084,6115,4185,71,31.49325478,19.18646743
9,4,7,9,10.24672855,34.96671523,6145,4325,73,33.80488742,21.53702902
9,5,7,10,10.76532303,37.8027056,6015,4340,76,36.59933624,23.91821743
9,7,7,12,12.05103554,44.30846792,5580,4225,77,39.64137187,25.77507978
9,8,7,13,12.57505712,46.80607197,5510,4245,77,40.58159945,25.89841799
10,2,5,5,7.729488171,29.21279207,6155,3780,30,11.1766468,6.87803838
10,3,5,6,9.039469476,34.56657127,7160,4880,36,13.23971602,8.316384377
10,4,5,7,10.35799591,39.7297166,7460,5210,40,15.27469403,9.677653076
10,5,5,8,11.7530162,45.3975356,7375,5360,47,17.28700392,11.11052672
10,7,5,10,13.95700446,54.63959759,7020,5475,55,22.39397386,13.94523112
10,8,5,11,14.55856447,56.62041609,6985,5695,58,23.37067556,14.23964145
11,2,18,18,20.00986783,68.863817,8680,5200,97,47.24110395,29.08976583
11,3,18,19,20.1962271,71.14106347,8200,5055,96,47.86725942,30.05530176
11,4,18,20,21.430551,78.55794599,7920,4815,96,50.59282424,32.18409091
11,5,18,21,22.16060608,83.63818002,7705,4700,96,49.78825297,31.18094545
11,7,18,23,23.79830263,94.39785004,7240,4415,97,51.81737435,30.95410269
11,8,18,24,23.90787352,95.828715,7070,4260,93,51.01579613,30.18728404
12,2,12,12,16.35405143,51.94169181,12200,8130,85,29.09839635,13.69524759
12,3,12,13,17.13830684,55.20350926,12150,7980,80,27.38270914,13.12718461
12,4,12,14,18.51073908,60.84123571,11740,7590,78,26.83830044,13.06248572
12,5,12,15,19.48824564,65.55644789,11370,7285,76,26.26178016,12.87243758
12,7,12,17,20.74778082,71.08670732,10865,6955,80,28.383367,14.63316522
12,8,12,18,21.28030041,73.29713018,10755,6800,79,28.15074549,14.58496106
13,2,14,14,16.89398518,55.14594034,7025,4770,83,39.07118265,24.53185721
13,3,14,15,17.59624109,59.41823301,6820,4770,91,43.25123284,26.44307203
13,4,14,16,18.31008163,63.96040009,6575,4495,90,44.72370069,27.58690176
13,5,14,17,19.43518806,70.84299433,6265,4240,92,50.47978928,31.83746356
13,7,14,19,18.70819211,74.03276774,6035,4135,97,56.45885916,36.70934256
13,8,14,20,19.36454542,77.98262755,5985,4120,96,55.30347901,36.25126904
14,2,5,5,12.91679564,48.93681539,7375,4980,100,37.68956259,15.58020691
14,3,5,6,13.25943737,50.48165512,7155,4885,101,40.50750189,18.11856287
14,4,5,7,14.49129905,55.95125252,7090,4825,102,43.99283049,22.27566451
14,5,5,8,15.09309861,58.16419184,6665,4720,103,47.43572178,25.47346939
14,7,5,10,16.37506083,63.34135606,6070,4220,102,54.79165482,34.81261878
14,8,5,11,17.12761757,67.66593166,5835,4085,104,59.11851301,38.70731707
15,2,4,4,12.19752015,65.55494127,5945,3760,68,35.04540089,23.33204763
15,3,4,5,13.01725199,70.66767072,5930,3945,68,37.16867717,24.24758128
15,4,4,6,13.80334131,75.79664827,5970,4000,72,38.98099346,24.19914018
15,5,4,7,14.47169551,80.15977817,5755,4035,73,39.04430434,23.9465376
15,7,4,9,16.04379952,91.08723076,6450,4885,92,52.37606906,35.94183075
15,8,4,10,16.28980586,92.2714689,6470,4875,91,51.77159738,35.78612893
16,2,4,4,9.380968451,27.47164995,13700,9960,62,16.60002777,8.917346123
16,3,4,5,10.40445614,31.70601534,13505,9865,63,17.61007728,9.713892723
16,4,4,6,12.24110189,38.91473755,13610,9880,67,19.35441919,10.90395657
16,5,4,7,12.99930564,42.87383865,12675,9260,68,20.4663171,11.37158484
16,7,4,9,13.83297438,49.99647906,10250,7565,69,21.0179961,10.36457106
16,8,4,10,14.08911628,52.9184824,9565,7070,68,20.68376741,9.717063129
17,2,23,23,17.9061003,63.95769013,7705,5625,72,14.99940488,4.387046378
17,3,23,24,18.331523,66.06336585,7860,5575,71,14.53796516,4.30689893
17,4,23,25,18.73160483,69.04660516,7535,5390,71,14.86874559,4.433933909
17,5,23,26,19.45454027,73.41115079,7480,5455,75,16.56071044,4.906331727
17,7,23,28,20.83054215,81.00502631,7430,5405,77,17.17536994,5.149759893
17,8,23,29,20.88211532,82.66765858,7365,5435,79,17.69502657,5.369562761
18,2,17,17,18.39773992,64.9515139,7805,6315,100,53.06351971,35.22364217
18,3,17,18,18.57619416,66.52801876,7810,6385,103,53.76594305,34.96271569
18,4,17,19,19.44864586,71.51638828,7905,6345,102,53.87442796,34.93223024
18,5,17,20,19.86017094,74.97929622,7830,6260,103,54.76845697,34.74405656
18,7,17,22,21.44543037,84.19612692,7735,6285,105,54.7344032,33.72981608
18,8,17,23,21.54689988,86.03780412,7705,6240,104,55.60118612,34.4845748
19,2,7,7,13.22246475,42.80898879,7445,5540,82,45.94982954,33.48729715
19,3,7,8,13.80684418,45.82978467,7760,5470,80,44.40327462,31.65560345
19,4,7,9,14.81950123,50.42635916,7835,5485,83,44.40252732,30.92330199
19,5,7,10,15.4429071,53.06283312,7525,5360,80,43.12509798,29.1343452
19,7,7,12,16.82998308,58.99674348,7375,5420,84,40.63402204,24.53424424
19,8,7,13,17.20891021,61.24336052,7280,5380,82,38.8565173,22.64957265
20,2,24,24,17.87808515,82.69372889,6445,4200,102,42.97820714,20.48876877
20,3,24,25,18.98314037,89.19730556,6450,4210,103,42.81876349,20.3038674
20,4,24,26,19.26408122,90.86388194,6670,4255,101,42.06239688,20.0545045
20,5,24,27,20.2366594,96.46110979,6510,4185,101,41.30365668,19.51328221
20,7,24,29,20.61865743,100.7355426,6315,4150,104,42.74939824,19.53150623
20,8,24,30,20.64398259,101.290227,6320,4175,104,43.66169804,20.08188012
21,2,22,22,20.80050852,91.26863458,8100,6010,94,39.18536313,18.91066583
21,3,22,23,22.97190668,102.6991521,8075,5910,91,39.39887092,19.35860171
21,4,22,24,18.22141803,77.71851436,8000,5850,90,40.71709944,20.53083477
21,5,22,25,19.29021927,82.87818151,7990,5825,91,43.04030958,22.16020323
21,7,22,27,19.87349522,86.98078942,7945,5795,101,50.91742229,26.26446541
21,8,22,28,20.00641993,87.60412783,7890,5745,101,51.82639741,26.76196339
23,2,11,11,16.11735599,50.09700225,8165,6085,66,29.68378113,15.99005064
23,3,11,12,16.32865558,52.07769299,7705,5680,68,31.01326408,16.576362
23,4,11,13,16.61390041,55.16196494,7180,5275,70,31.43554035,16.63030191
23,5,11,14,16.98070099,57.74241173,7230,5340,71,32.71553832,17.36524977
23,7,11,16,16.26274497,56.51091256,7705,5750,77,34.87781609,19.36153753
23,8,11,17,16.46945391,57.47728445,7800,5835,83,35.0768627,18.75460888
24,2,5.5,5.5,9.582513401,36.54094772,6420,4550,56,16.40167352,9.392146094
24,3,5.5,6.5,10.0002549,37.50334236,7270,5140,62,16.97864225,9.29424476
24,4,5.5,7.5,10.95750997,40.63884389,7945,5575,68,20.1819421,10.52160005
24,5,5.5,8.5,11.41735666,42.16288427,7900,5675,71,22.04203948,11.16814869
24,7,5.5,10.5,11.38349029,40.78371357,7730,5765,76,29.28239436,15.08086888
24,8,5.5,11.5,12.05066247,42.93589796,7620,5705,79,31.79005413,15.97763668
25,2,11,11,12.27813734,46.77482145,8275,5495,81,27.2375028,11.39503491
25,3,11,12,12.29531793,47.85058247,7875,5230,81,27.8836394,11.42815122
25,4,11,13,12.78967502,50.31204207,8045,5125,80,28.87292749,11.73717771
25,5,11,14,13.37799715,53.67349298,7800,4970,84,29.65136854,11.47976085
25,7,11,16,13.82678151,56.16283478,7570,4770,89,34.4675418,14.19078559
25,8,11,17,14.6317518,62.02825251,7360,4665,89,35.74739898,15.10504141
26,2,12,12,14.52057084,58.08712953,7390,5395,62,27.00705087,17.38332114
26,3,12,13,15.46330389,61.67551204,6975,5385,66,28.834629,17.9811733
26,4,12,14,16.35048965,66.44294143,7150,5250,70,30.71982306,19.06642223
26,5,12,15,16.89318015,69.32122216,6845,5015,74,33.2666791,20.40513411
26,7,12,17,17.84588383,74.87007293,6540,4865,86,40.35582764,23.76730322
26,8,12,18,18.18285498,77.03995197,6295,4765,90,42.60679591,24.31041914
27,2,5,5,11.78164397,47.33712887,8160,4720,67,24.27207877,13.85478172
27,3,5,6,12.29352722,51.65388685,7845,4470,68,25.01721859,13.59808116
27,4,5,7,13.08326471,55.52129002,7875,4485,68,25.75152591,13.78885942
27,5,5,8,14.20398862,61.1033228,7870,4655,72,27.13202034,14.25930607
27,7,5,10,14.83028867,66.73588761,7215,4650,74,29.86018451,15.31872349
27,8,5,11,15.47890582,70.72404402,7160,4750,77,30.64180935,15.31671941
28,2,25,25,22.99849633,129.2333673,6095,5325,113,62.80474961,37.09756098
28,3,25,26,23.04949616,130.3777995,5940,5185,115,63.36953173,36.94830287
28,4,25,27,23.2220285,131.6579574,6025,5190,114,64.59806863,38.57000553
28,5,25,28,23.75861253,133.4427632,5865,5140,113,64.83159368,38.90647482
28,7,25,30,24.2168688,134.7902807,6005,5230,114,64.11774962,38.05398316
28,8,25,31,24.54875842,136.3939234,6130,5290,114,65.12746332,39.52909014
29,2,28,28,24.08467843,96.35327327,7010,5105,104,52.47937228,28.61829653
29,3,28,29,24.80692665,99.9651623,7105,5160,102,53.62337108,29.46307204
29,4,28,30,25.39221715,102.4078098,7175,5125,103,53.564398,28.43147882
29,5,28,31,26.00000144,105.5407419,7085,5100,103,52.66787653,27.7574328
29,7,28,33,26.66749171,109.3943468,7025,5260,104,49.6607677,24.15577078
29,8,28,34,25.62357188,105.8360501,7025,5305,108,49.95526396,23.59305723
30,2,7,7,12.36466073,45.64867668,12775,8315,77,24.32926374,10.58597138
30,3,7,8,13.4861504,48.95020374,11080,7425,74,25.08496725,11.24774647
30,4,7,9,14.61585927,54.48301483,9585,6165,72,26.33274044,12.47100863
30,5,7,10,15.98762785,61.4192617,8490,5650,78,30.37306462,14.83436498
30,7,7,12,15.81213848,64.14277458,7550,5280,84,39.35410232,22.26421908
30,8,7,13,16.33947837,66.79394423,7295,5175,85,41.4914449,24.69226727
31,2,20,20,24.15057726,99.57569114,8190,5885,77,24.85581495,11.64941961
31,3,20,21,25.3450697,104.705427,8340,5950,81,25.01500244,11.32324622
31,4,20,22,24.97578333,104.8560663,8335,5860,80,25.11803875,11.19971269
31,5,20,23,25.83348918,110.1711729,8385,5840,81,25.31977519,10.94307165
31,7,20,25,24.74713822,106.1227804,8645,5930,82,26.62857993,10.83552488
31,8,20,26,24.729239,105.7916814,8910,6040,89,28.59089239,11.27731119
32,2,6,6,9.201501044,31.96599658,15010,10275,77,23.83281809,12.80419731
32,3,6,7,10.04476342,34.45461345,13560,9140,77,25.72508778,13.61049025
32,4,6,8,11.9866643,39.84298125,11940,8170,80,28.22704192,14.05291846
32,5,6,9,13.91617553,45.7144399,9765,6835,81,31.20206997,16.73866369
32,7,6,11,13.9975742,49.65096811,7705,5620,81,37.81286552,23.42948439
32,8,6,12,13.49533956,48.89265882,7085,5300,81,38.29275863,24.6663459
33,2,15,15,16.15849122,61.99258843,7730,4505,79,35.87127276,20.5429757
33,3,15,16,15.68529275,62.30507477,7690,4400,80,34.91271072,19.70173677
33,4,15,17,16.74577662,67.8399481,7525,4380,80,34.25394233,19.11736951
33,5,15,18,17.55155587,72.73224233,7460,4320,82,33.82366673,18.61840694
33,7,15,20,18.00120024,77.40302375,7355,4290,81,34.10662614,18.77777778
33,8,15,21,18.29101216,79.87180726,7215,4205,80,33.78525214,18.39171941
34,2,20,20,16.56217016,64.12474626,5815,4205,75,33.49025796,18.36436491
34,3,20,21,16.18843845,63.96223097,5460,4105,77,34.24155883,18.72173711
34,4,20,22,16.95097367,66.30004455,5860,4140,81,34.77796031,18.57467945
34,5,20,23,17.54485642,69.23482419,5905,4205,82,35.6900158,19.2466224
34,7,20,25,18.61311966,74.3694044,5950,4205,83,36.07816468,19.96908201
34,8,20,26,18.51157553,74.35200587,5765,4135,83,36.8040277,21.273704
35,2,10,10,12.63954616,47.54205722,9845,5605,69,24.68900861,13.02527394
35,3,10,11,13.63318872,51.54995005,10015,5495,67,25.24148011,13.5547392
35,4,10,12,14.65047176,56.68247575,8800,4990,63,23.67716252,12.58392531
35,5,10,13,15.75020591,62.19398233,8195,4770,62,24.01087375,12.45164998
35,7,10,15,17.09443057,70.36302663,6820,4455,64,26.38360094,14.11340206
35,8,10,16,16.87973806,71.21919283,6185,4155,62,27.01997237,14.995053
36,2,13,13,13.69565536,52.23043666,13720,9740,76,26.93669348,16.40569986
36,3,13,14,13.88092686,53.74149743,12495,9190,78,27.44937081,16.81340173
36,4,13,15,15.46101052,61.78245695,11810,8450,81,29.7123323,18.4441504
36,5,13,16,16.60391015,68.13491548,10805,7765,79,30.48305055,18.8801334
36,7,13,18,17.20121723,73.33446928,9075,6705,81,32.13201611,19.42302734
36,8,13,19,17.60687146,76.36635268,8390,6240,82,33.1402132,19.38652427
38,2,18,18,21.95121108,83.54856068,6150,4310,99,56.20427986,33.46766169
38,3,18,19,22.93640668,88.50483021,6075,4265,99,56.55212782,33.85474759
38,4,18,20,23.45452992,90.78665445,5925,4060,98,56.9381143,34.38197944
38,5,18,21,24.81298207,97.27406546,5860,3935,96,57.61996397,35.32305303
38,7,18,23,26.25114821,106.6772689,5645,3870,97,58.33918772,35.47440585
38,8,18,24,26.66781372,107.7260921,5725,3895,98,57.80449631,34.72328707
39,2,7,7,17.75404329,59.73140089,9295,5515,78,41.55891884,28.93237684
39,3,7,8,18.35281907,62.54396798,9275,5470,80,41.36208138,28.26676692
39,4,7,9,19.22571844,67.13072563,9130,5430,78,40.42569772,27.71526196
39,5,7,10,20.45279312,72.48542658,9080,5570,77,40.7467269,27.84186225
39,7,7,12,21.76809942,79.60107049,9030,5605,84,41.89187219,27.50995647
39,8,7,13,22.14311919,81.62516741,8775,5460,84,40.98848366,26.51815551
41,2,20,20,20.38495043,72.11461856,9060,6060,67,27.10942894,15.22133106
41,3,20,21,20.51044134,73.33441992,8605,5875,66,26.99491843,15.13360394
41,4,20,22,20.98885093,76.54762786,8240,5615,65,26.57256588,15.07025411
41,5,20,23,21.24832292,78.94777561,7895,5355,64,26.03089656,15.19697293
41,7,20,25,22.77480315,87.52328273,7435,5140,68,27.32246404,16.2410638
41,8,20,26,23.23378199,90.18752774,7325,5175,68,27.10868427,16.32671082
42,2,18,18,16.9069364,62.09708898,7770,5090,73,39.20253592,24.91032284
42,3,18,19,18.19652876,68.23134691,7575,5010,72,36.76979942,21.84351877
42,4,18,20,18.45584368,70.5839096,7430,4810,71,35.27618898,20.26347251
42,5,18,21,19.09400325,74.28965526,7305,4680,72,34.30976021,18.83238162
42,7,18,23,20.78644989,83.11252065,7070,4665,78,34.96522042,17.31706539
42,8,18,24,21.15375313,86.12690834,6985,4650,76,33.52927238,15.70596026
43,2,4,4,13.44789366,31.61333241,14815,10445,78,32.28913864,21.46895682
43,3,4,5,14.2661411,35.31949565,14245,10100,76,32.0244801,21.74441396
43,4,4,6,16.228427,42.51194928,14240,9710,77,32.1394578,21.71803072
43,5,4,7,16.79816268,46.31659561,13505,8975,78,33.0516929,22.02745119
43,7,4,9,16.4785606,51.81495602,11995,7695,75,33.01283297,21.01212581
43,8,4,10,16.97042406,55.42991165,11660,7440,72,32.17206969,20.12025833
44,2,29,29,27.1070712,109.9984129,6215,5120,117,66.33376452,41.68221574
44,3,29,30,26.25781232,107.3058547,5985,4955,115,65.60379179,41.4972757
44,4,29,31,27.41015636,112.9782315,6030,4930,115,65.35993863,41.43709826
44,5,29,32,27.62577957,114.3079956,5810,4770,116,66.08975728,41.90251698
44,7,29,34,27.49662084,113.3243266,5800,4710,114,65.82847711,42.05964337
44,8,29,35,28.14203356,116.3357678,5740,4635,113,65.56529517,42.17896522
45,2,1,1,3.62387425,6.909775378,14620,10280,54,11.49654618,6.678275019
45,3,1,2,5.356058118,10.74759043,18940,13520,53,11.64256887,6.202456546
45,4,1,3,6.33955726,13.44658364,21255,14770,64,13.21976379,6.335779279
45,5,1,4,7.379561873,16.62713379,21710,14810,64,13.22794741,6.067609209
45,7,1,6,8.813647869,22.32330545,19160,13155,69,12.43714254,4.969003867
45,8,1,7,9.364781395,24.7793692,18350,12595,68,12.2624048,4.74229837
47,2,5,5,6.759187645,18.95395802,18380,7380,48,14.3726265,9.095741147
47,3,5,6,6.963383314,20.80371384,15805,6200,47,15.10115031,9.534013441
47,4,5,7,7.918293963,25.76336447,12255,5105,51,17.92510555,11.13138004
47,5,5,8,8.15918736,28.16321449,9570,4290,47,18.98959451,12.4765343
47,7,5,10,8.57864103,32.77464686,6340,3640,51,23.25187778,16.28694829
47,8,5,11,8.674816963,34.19898375,5940,3765,55,23.38235596,15.91763205
52,2,16,16,17.66732748,59.37967189,9875,6965,89,39.7047891,24.50490098
52,3,16,17,18.16836046,62.96687032,9490,6600,90,41.5603891,25.81207538
52,4,16,18,18.59262469,65.93703326,8825,6090,89,43.36878221,27.32750165
52,5,16,19,19.33428403,72.10306191,8455,5740,90,45.47568239,29.11712902
52,7,16,21,19.0575215,74.20258219,8190,5710,90,45.02899673,28.29028815
52,8,16,22,18.71791926,74.89519462,7960,5495,90,45.50780716,27.79224219
66,2,6,6,8.779954288,22.46537386,16765,11940,76,17.40371889,7.704724007
66,3,6,7,9.841930414,25.76305789,15695,11420,72,16.65447608,7.11237632
66,4,6,8,11.42479831,31.34244233,15685,10700,71,16.73602548,6.808086342
66,5,6,9,12.57854821,36.31516843,14775,9860,70,16.06671138,6.253211115
66,7,6,11,14.04023703,43.70201045,12895,8695,73,15.09252066,5.223780932
66,8,6,12,14.36316134,46.2182947,12250,8160,73,14.85317002,4.90378837
67,2,6,6,4.12013986,11.96873021,9225,5305,56,24.62880443,15.03096169
67,3,6,7,4.854832718,14.62893523,9630,5420,57,24.621436,15.23672367
67,4,6,8,5.819549063,18.26242382,9880,5595,56,23.77658803,15.10218167
67,5,6,9,6.553271955,21.23907393,9715,5725,54,23.2098744,14.96588971
67,7,6,11,7.923768188,27.11839835,9515,5880,50,22.74037056,15.06186874
67,8,6,12,8.499233349,29.80989628,8960,5825,55,23.58716728,15.33893557