"T","B","b","xmid","s","xshift","T2","B2","b2","xmid2","s2","xshift2"
2.35482495282495,0,-0.2,15,1,-3,0.285000287951841,0.285000287951841,0,0,0,0
3.17221472971473,0,-0.2,17,1,-3,0.12023105047568,0.12023105047568,0,0,0,0
1.18621456321456,0,-0.2,15,1,-3,0.0245759386644514,0.0245759386644514,0,0,0,0
5.27218892218892,0,-0.2,11.5,1,-3,0.327910294208724,0.327910294208724,0,0,0,0
2.52551875208125,0,-0.2,11.5,1,-3,0.375474879585969,0.375474879585969,0,0,0,0
1.44389628228914,0,-0.2,15,1,-3,0.559587118516781,0.559587118516781,0,0,0,0
3.02810570655398,0,-0.2,16,1,-3,0.249336393094401,0.249336393094401,0,0,0,0
8.41118145743146,0,-0.2,12,1,-3,0.70736155431324,0.70736155431324,0,0,0,0
10.2802005012531,0,-0.2,10.5,1,-3,0.562420906022408,0.562420906022408,0,0,0,0
0.504619824619825,0,-0.2,13,1,-3,0.258820946386903,0.258820946386903,0,0,0,0
1.02859770078705,0,-0.2,15,1,-3,0.0660816995622811,0.0660816995622811,0,0,0,0
0.218767898767899,0,-0.2,6,1,-3,0.321794871794872,0.321794871794872,0,0,0,0
0.649276104794499,0,-0.2,14.5,1,-3,0.319176947094627,0.319176947094627,0,0,0,0
0.20318101651435,0,-0.2,5.5,1,-3,0.460978835978836,0.460978835978836,0,0,0,0
1.01226575893243,0,-0.2,13.5,1,-3,0.298205286127747,0.298205286127747,0,0,0,0
0.748308653597115,0,-0.2,15.5,1,-3,0.085418021491391,0.085418021491391,0,0,0,0
0.825983684931053,0,-0.2,14,1,-3,0.569343350512885,0.569343350512885,0,0,0,0
5.15150812391072,0,-0.2,6,1,-3,0.86421241975642,0.86421241975642,0,0,0,0
3.0000110819916,0,-0.2,5.5,1,-3,0.711392785317414,0.711392785317414,0,0,0,0
1.82370099036766,0,-0.2,10.5,1,-3,0.828498849034563,0.828498849034563,0,0,0,0
0.881546139810603,0,-0.2,6,1,-3,0.253905122655123,0.253905122655123,0,0,0,0
1.50770947802198,0,-0.2,4.5,1,-3,0.768300189393939,0.768300189393939,0,0,0,0
3.58867035742036,0,-0.2,7,1,-3,0.600328433381053,0.600328433381053,0,0,0,0
3.35119047619048,0,-0.2,4,1,-3,0.358045977011494,0.358045977011494,0,0,0,0
0.468956043956044,0,-0.2,6,1,-3,0.142857142857143,0.142857142857143,0,0,0,0
1.16259100981323,0,-0.2,4.5,1,-3,0.899260461760462,0.899260461760462,0,0,0,0
3.88143206000349,0,-0.2,4,1,-3,0.792922594646733,0.792922594646733,0,0,0,0
0.555238095238095,0,-0.2,4,1,-3,0.393333333333333,0.393333333333333,0,0,0,0
0,0.519537407037407,-1,2,1,0,0.0576233696523552,0.0576233696523552,0,0,0,0
0,2.33234753462026,-1,3,1,0,0.0226810929746657,0.0226810929746657,0,0,0,0
0,0.273039738039738,-1,2,1,0,0.120553289818217,0.120553289818217,0,0,0,0
0,0.198344710844711,-1,2,1,0,0.208460676375656,0.208460676375656,0,0,0,0
0,1.0931077338097,-1,2,1,0,0.241607149660567,0.241607149660567,0,0,0,0
0,0.215054269402095,-1,2,1,0,0.0161675824175824,0.0161675824175824,0,0,0,0
0,0.497969677381442,-1,2,1,0,0.3763226669135,0.3763226669135,0,0,0,0
0,0.145885595885596,-1,1,1,0,0.304163931245811,0.304163931245811,0,0,0,0
0,0.40648458684173,-1,2,1,0,0.251482873851295,0.251482873851295,0,0,0,0
0,0.202735597735598,-1,1,1,0,0.211458333333333,0.211458333333333,0,0,0,0
0,0.39862934000865,-1,2,1,0,0.111560278665542,0.111560278665542,0,0,0,0
0,0.305496106457645,-1,1,1,0,0.199573203620686,0.199573203620686,0,0,0,0
0,0.608662567591139,-1,3,1,0,0.0132819794584501,0.0132819794584501,0,0,0,0
0,0.362762422762423,-1,1,1,0,0.053046218487395,0.053046218487395,0,0,0,0
0,0.312812716384145,-1,4,1,0,0.0635259023472092,0.0635259023472092,0,0,0,0
0,0.172238872238872,-1,5,1,0,0.131108393323523,0.131108393323523,0,0,0,0
0,0.220498390498391,-1,3,1,0,0.0526785714285714,0.0526785714285714,0,0,0,0
0,0.433970322606686,-1,7,1,0,0.120088742567734,0.120088742567734,0,0,0,0
0,0.290212602882286,-1,5,1,0,0.00741758241758242,0.00741758241758242,0,0,0,0
0,0.243869634638865,-1,4,1,0,0.20647619047619,0.20647619047619,0,0,0,0
0,0.501962517200612,-1,1,1,0,0.145164305391578,0.145164305391578,0,0,0,0
0,0.148865486365486,-1,2,1,0,0.0277777777777778,0.0277777777777778,0,0,0,0
0,0.307839863128325,-1,3,1,0,0.0448232323232323,0.0448232323232323,0,0,0,0
0,0.434010780885781,-1,5,1,0,0.0266830870279146,0.0266830870279146,0,0,0,0
0,0.384260006375391,-1,3,1,0,0.155257544387979,0.155257544387979,0,0,0,0
0,0.529728288805212,-1,4,1,0,0.0174533236718111,0.0174533236718111,0,0,0,0
0,0.296937743387447,-1,6,1,0,0.00223214285714286,0.00223214285714286,0,0,0,0
0,0.194549894549895,-1,4,1,0,0.2187552213868,0.2187552213868,0,0,0,0
0,0.249134372571873,-1,1,1,0,0.104646697388633,0.104646697388633,0,0,0,0
0,0.280474912293094,-1,5,1,0,0.115710678210678,0.115710678210678,0,0,0,0
0,0.58253150531257,-1,4,1,0,0.0357429319435903,0.0357429319435903,0,0,0,0
0,0.43806765883689,-1,8,1,0,0.0151727357609711,0.0151727357609711,0,0,0,0
0,0.140728715728716,-1,3,1,0,0.0196078431372549,0.0196078431372549,0,0,0,0
0,0.204158548004702,-1,2,1,0,0.223333333333333,0.223333333333333,0,0,0,0
0,0.166958041958042,-1,5,1,0,0.149987769432214,0.149987769432214,0,0,0,0
0,0.392367949510807,-1,2,1,0,0.231327083410417,0.231327083410417,0,0,0,0
0,0.156643356643357,-1,4,1,0,0.00223214285714286,0.00223214285714286,0,0,0,0
0,0.125627791012406,-1,4,1,0,0.0857487922705314,0.0857487922705314,0,0,0,0
0,0.302711533480764,-1,2,1,0,0.547456486581874,0.547456486581874,0,0,0,0
0,0.256242902396749,-1,2,1,0,0.0147005772005772,0.0147005772005772,0,0,0,0
0,0.154294162627496,-1,2,1,0,0.210034013605442,0.210034013605442,0,0,0,0
0,0.532437135514059,-1,1,1,0,0.833151261810321,0.833151261810321,0,0,0,0
0,0.244878353969263,-1,5,1,0,0.0471264367816092,0.0471264367816092,0,0,0,0
0,0.285638898138898,-1,2,1,0,0.0546088119741807,0.0546088119741807,0,0,0,0
0,0.411337321682149,-1,4,1,0,0.0152958152958153,0.0152958152958153,0,0,0,0
0,0.371179006179006,-1,6,1,0,0.0272108843537415,0.0272108843537415,0,0,0,0
0,0.192839367314892,-1,2,1,0,0.00223214285714286,0.00223214285714286,0,0,0,0
0,0.459239478470248,-1,3,1,0,0.0315476190476191,0.0315476190476191,0,0,0,0
0,0.295984848484848,-1,6,1,0,0.0520833333333333,0.0520833333333333,0,0,0,0
0,0.39961846024346,-1,2,1,0,0.3298178613396,0.3298178613396,0,0,0,0
0,0.564097616669045,-1,4,1,0,0.0441933458882611,0.0441933458882611,0,0,0,0
0,0.236871276871277,-1,2,1,0,0.381944444444444,0.381944444444444,0,0,0,0
0,0.246768900615054,-1,4,1,0,0.00223214285714286,0.00223214285714286,0,0,0,0
0,0.209282075948743,-1,4,1,0,0.0935353535353535,0.0935353535353535,0,0,0,0
0,0.204249889544007,-1,3,1,0,0.0631578947368421,0.0631578947368421,0,0,0,0
0,0.104444444444444,-1,6,1,0,0.00223214285714286,0.00223214285714286,0,0,0,0
0,0.403535353535354,-1,6,1,0,0.0432900432900433,0.0432900432900433,0,0,0,0
0,0.470807161092875,-1,3,1,0,0.133594833851219,0.133594833851219,0,0,0,0
0,0.151974288337925,-1,6,1,0,0.125,0.125,0,0,0,0
0,0.296224513228562,-1,1,1,0,0.0438397581254724,0.0438397581254724,0,0,0,0
0,0.343340240006907,-1,4,1,0,0.00223214285714286,0.00223214285714286,0,0,0,0
0,0.440677665529736,-1,1,1,0,0.535634920634921,0.535634920634921,0,0,0,0
0,0.655173890877509,-1,5,1,0,0.0285714285714286,0.0285714285714286,0,0,0,0
0,0.217623274161736,-1,2,1,0,0.092,0.092,0,0,0,0
0,0.185133599183186,-1,6,1,0,0.00223214285714286,0.00223214285714286,0,0,0,0
0,0.366639515787243,-1,2,1,0,0.0188834154351396,0.0188834154351396,0,0,0,0
0,0.253276353276353,-1,3,1,0,0.00223214285714286,0.00223214285714286,0,0,0,0
0,0.176474319331462,-1,4,1,0,0.0147058823529412,0.0147058823529412,0,0,0,0
0,0.578562719841562,-1,5,1,0,0.222222222222222,0.222222222222222,0,0,0,0
0,0.507883190883191,-1,5,1,0,0.0529812666631354,0.0529812666631354,0,0,0,0
0,0.234799274799275,-1,4,1,0,0.0641025641025641,0.0641025641025641,0,0,0,0
0,0.800010575843909,-1,3,1,0,0.0133477633477633,0.0133477633477633,0,0,0,0
0,0.423991176372129,-1,6,1,0,0.00223214285714286,0.00223214285714286,0,0,0,0
0,0.780340145965146,-1,3,1,0,0.188300476585501,0.188300476585501,0,0,0,0
0,0.127534687534688,-1,5,1,0,0.365021813934857,0.365021813934857,0,0,0,0
0,0.210266904812359,-1,5,1,0,0.0601851851851852,0.0601851851851852,0,0,0,0
0,0.361666666666667,-1,6,1,0,0.00223214285714286,0.00223214285714286,0,0,0,0
0,0.304791622518895,-1,7,1,0,0.00223214285714286,0.00223214285714286,0,0,0,0
0,0.36739775376139,-1,2,1,0,0.015625,0.015625,0,0,0,0
0,0.129755892255892,-1,8,1,0,0.153846153846154,0.153846153846154,0,0,0,0
0,0.455030622971799,-1,9,1,0,0.0200980392156863,0.0200980392156863,0,0,0,0
0,0.14817939005439,-1,5,1,0,0.127539147455415,0.127539147455415,0,0,0,0
0,0.481624105061605,-1,5,1,0,0.16403162055336,0.16403162055336,0,0,0,0
0,0.27765083401447,-1,2,1,0,0.162719061983768,0.162719061983768,0,0,0,0
0,0.242313696404605,-1,5,1,0,0.0180451127819549,0.0180451127819549,0,0,0,0
0,0.583925501814079,-1,13,1,0,0.00223214285714286,0.00223214285714286,0,0,0,0
0,0.279834401709402,-1,4,1,0,0.00223214285714286,0.00223214285714286,0,0,0,0
0,0.142857142857143,-1,8,1,0,0.0833333333333333,0.0833333333333333,0,0,0,0
0,0.226993006993007,-1,6,1,0,0.00223214285714286,0.00223214285714286,0,0,0,0
0,0.224279835390946,-1,6,1,0,0.00223214285714286,0.00223214285714286,0,0,0,0
0,0.266666666666667,-1,6,1,0,0.277056277056277,0.277056277056277,0,0,0,0
0,0.167558859167251,-1,5,1,0,0.566388888888889,0.566388888888889,0,0,0,0
0,0.621646367100913,-1,2,1,0,0.68673322232211,0.68673322232211,0,0,0,0
0,0.370997236381852,-1,2,1,0,0.403381642512077,0.403381642512077,0,0,0,0
0,0.173517840184507,-1,5,1,0,0.219085775335775,0.219085775335775,0,0,0,0
0,0.262895299145299,-1,5,1,0,0.00223214285714286,0.00223214285714286,0,0,0,0
0,0.525079251233097,-1,2,1,0,0.854137740279045,0.854137740279045,0,0,0,0
0,0.262719855901674,-1,4,1,0,0.505747151399325,0.505747151399325,0,0,0,0
0,0.6936795088969,-1,2,1,0,0.0169491525423729,0.0169491525423729,0,0,0,0
0,0.105283605283605,-1,2,1,0,0.275333333333333,0.275333333333333,0,0,0,0
0,0.245,-1,22,1,0,0.00223214285714286,0.00223214285714286,0,0,0,0
0,0.588888888888889,-1,2,1,0,0.171428571428571,0.171428571428571,0,0,0,0
0,0.00348148148148148,-1,20,1,0,0.0226810929746657,0.0226810929746657,0,0,0,0
0,0.616102193649176,-1,8,1,0,0.5,0.5,0,0,0,0
0,0.130536130536131,-1,5,1,0,0.00223214285714286,0.00223214285714286,0,0,0,0
0,0.199162086199123,-1,6,1,0,0.141176470588235,0.141176470588235,0,0,0,0
0,0.302960927960928,-1,10,1,0,0.00223214285714286,0.00223214285714286,0,0,0,0
0,0.270909090909091,-1,12,1,0,0.00223214285714286,0.00223214285714286,0,0,0,0
0,0.166148666148666,-1,6,1,0,0.00223214285714286,0.00223214285714286,0,0,0,0
0,0.505555555555556,-1,26,1,0,0.0555555555555555,0.0555555555555555,0,0,0,0
0,0.437682660476778,-1,2,1,0,0.0205882352941176,0.0205882352941176,0,0,0,0
0,0.125925925925926,-1,5,1,0,0.00223214285714286,0.00223214285714286,0,0,0,0
0,0.171876377590663,-1,4,1,0,0.288194444444444,0.288194444444444,0,0,0,0
0,0.190624190624191,-1,6,1,0,0.00223214285714286,0.00223214285714286,0,0,0,0
0,0.490376984126984,-1,3,1,0,0.00223214285714286,0.00223214285714286,0,0,0,0
0,0.447569444444444,-1,6,1,0,0.00793650793650793,0.00793650793650793,0,0,0,0
0,0.263053613053613,-1,3,1,0,0.0299319727891157,0.0299319727891157,0,0,0,0
0,0.161923076923077,-1,2,1,0,0.00223214285714286,0.00223214285714286,0,0,0,0
0,0.457777777777778,-1,6,1,0,0.00223214285714286,0.00223214285714286,0,0,0,0
0,0.424215367965368,-1,5,1,0,0.00223214285714286,0.00223214285714286,0,0,0,0
0,0.237877747252747,-1,3,1,0,0.346153846153846,0.346153846153846,0,0,0,0
0,0.253703703703704,-1,2,1,0,0.00223214285714286,0.00223214285714286,0,0,0,0
0,0.374929268262602,-1,5,1,0,0.064151150656341,0.064151150656341,0,0,0,0
0,0.185470085470085,-1,6,1,0,0.382867132867133,0.382867132867133,0,0,0,0
0,1.76286754181491,-1,9,1,0,0.0136469221835075,0.0136469221835075,0,0,0,0
0,0.11965811965812,-1,10,1,0,0.00223214285714286,0.00223214285714286,0,0,0,0
0,0.241666666666667,-1,9,1,0,0.00223214285714286,0.00223214285714286,0,0,0,0
0,0.208333333333333,-1,19,1,0,0.0833333333333333,0.0833333333333333,0,0,0,0
0,0.293706293706294,-1,6,1,0,0.1,0.1,0,0,0,0
0,0.267523486614396,-1,2,1,0,0.0476190476190476,0.0476190476190476,0,0,0,0
0,0.186538461538462,-1,6,1,0,0.233333333333333,0.233333333333333,0,0,0,0
0,0.902857142857143,-1,26,1,0,0.1875,0.1875,0,0,0,0
0,0.600777000777001,-1,2,1,0,0.00223214285714286,0.00223214285714286,0,0,0,0
0,0.544987287844431,-1,6,1,0,0.00223214285714286,0.00223214285714286,0,0,0,0
0,0.451282051282051,-1,11,1,0,0.00223214285714286,0.00223214285714286,0,0,0,0
0,2.16173774784886,-1,13,1,0,0.00386100386100385,0.00386100386100385,0,0,0,0
0,0.467858067858068,-1,7,1,0,0.0476190476190476,0.0476190476190476,0,0,0,0
0,0.551748809978981,-1,30,1,0,0.00223214285714286,0.00223214285714286,0,0,0,0
0,0.19047619047619,-1,5,1,0,0.393939393939394,0.393939393939394,0,0,0,0
0,0.153846153846154,-1,2,1,0,0.472222222222222,0.472222222222222,0,0,0,0
0,0.295128152271009,-1,4,1,0,0.00223214285714286,0.00223214285714286,0,0,0,0
0,0.32979797979798,-1,12,1,0,0.0317460317460317,0.0317460317460317,0,0,0,0
0,0.42787296037296,-1,10,1,0,0.0763888888888889,0.0763888888888889,0,0,0,0
0,0.551748809978981,-1,18,1,0,0.00223214285714286,0.00223214285714286,0,0,0,0
0,0.292346542346542,-1,8,1,0,0.00223214285714286,0.00223214285714286,0,0,0,0
0,0.23984348984349,-1,4,1,0,0.01,0.01,0,0,0,0
0,0.179487179487179,-1,6,1,0,0.1,0.1,0,0,0,0
0,0.177851228632479,-1,5,1,0,0.111111111111111,0.111111111111111,0,0,0,0
0,1.22625,-1,17,1,0,0.00223214285714286,0.00223214285714286,0,0,0,0
0,0.154558404558405,-1,8,1,0,0.00223214285714286,0.00223214285714286,0,0,0,0
0,1.76256613756614,-1,2,1,0,0.926329966329966,0.926329966329966,0,0,0,0
0,0.325531355218855,-1,8,1,0,0.0588235294117647,0.0588235294117647,0,0,0,0
0,0.285714285714286,-1,6,1,0,0.00223214285714286,0.00223214285714286,0,0,0,0
0,0.857549857549858,-1,7,1,0,0.00223214285714286,0.00223214285714286,0,0,0,0
0,0.648278885484274,-1,6,1,0,0.00223214285714286,0.00223214285714286,0,0,0,0
0,0.215384615384615,-1,6,1,0,0.1,0.1,0,0,0,0
0,0.648278885484274,-1,5,1,0,1,1,0,0,0,0
0,0.180976430976431,-1,6,1,0,0.00223214285714286,0.00223214285714286,0,0,0,0
0,0.12962962962963,-1,5,1,0,0.0384615384615385,0.0384615384615385,0,0,0,0
0,0.527272727272727,-1,12,1,0,0.00223214285714286,0.00223214285714286,0,0,0,0
0,0.702777777777778,-1,13,1,0,0.166666666666667,0.166666666666667,0,0,0,0
0,0.231875355684879,-1,2,1,0,0.107142857142857,0.107142857142857,0,0,0,0
0,0.661050843743151,-1,2,1,0,0.9125,0.9125,0,0,0,0
0,0.00454106280193237,-1,29,1,0,0.162719061983768,0.162719061983768,0,0,0,0
0,0.935521885521886,-1,6,1,0,0.00869565217391304,0.00869565217391304,0,0,0,0
0,0.632039627039627,-1,6,1,0,0.0686274509803921,0.0686274509803921,0,0,0,0
0,0.711515151515152,-1,12,1,0,0.2,0.2,0,0,0,0
0,0.305288461538462,-1,5,1,0,0.0196078431372549,0.0196078431372549,0,0,0,0
0,0.64,-1,6,1,0,0.00223214285714286,0.00223214285714286,0,0,0,0
0,0.363888888888889,-1,16,1,0,0.00223214285714286,0.00223214285714286,0,0,0,0
0,0.0130555555555556,-1,25,1,0,0.00223214285714286,0.00223214285714286,0,0,0,0
0,0.267857142857143,-1,9,1,0,0.00223214285714286,0.00223214285714286,0,0,0,0
0,0.666666666666667,-1,8,1,0,0.00223214285714286,0.00223214285714286,0,0,0,0
0,0.227405306426285,-1,5,1,0,0.428720238095238,0.428720238095238,0,0,0,0
0,0.0094949494949495,-1,24,1,0,1,1,0,0,0,0
0,0.19047619047619,-1,7,1,0,0.328571428571429,0.328571428571429,0,0,0,0
0,0.443807234432234,-1,6,1,0,0.111111111111111,0.111111111111111,0,0,0,0
0,0.7,-1,25,1,0,0.00223214285714286,0.00223214285714286,0,0,0,0
0,0.340740740740741,-1,2,1,0,0.444444444444444,0.444444444444444,0,0,0,0
0,0.179487179487179,-1,6,1,0,0.037037037037037,0.037037037037037,0,0,0,0
0,0.00803418803418804,-1,24,1,0,0.00223214285714286,0.00223214285714286,0,0,0,0
